,year,chamber,district_number,winner,DEM,REP,LIB,CST,GRE,UNA,REP_wasted,DEM_wasted,wasted,dem_percent
0,2002-01-01,house,1,DEM,12157.0,0.0,0.0,0.0,0.0,0.0,0.0,12156.0,12156.0,1.0
1,2002-01-01,house,10,REP,8777.0,9109.0,0.0,0.0,0.0,0.0,331.0,8777.0,9108.0,0.4907189980990719
2,2002-01-01,house,100,DEM,8450.0,5432.0,0.0,0.0,0.0,0.0,5432.0,3017.0,8449.0,0.6087019161504106
3,2002-01-01,house,101,DEM,12093.0,0.0,0.0,0.0,0.0,0.0,0.0,12092.0,12092.0,1.0
4,2002-01-01,house,102,DEM,10923.0,0.0,1080.0,0.0,0.0,0.0,0.0,10922.0,10922.0,1.0
5,2002-01-01,house,103,REP,0.0,17254.0,1866.0,0.0,0.0,0.0,17253.0,0.0,17253.0,0.0
6,2002-01-01,house,104,REP,0.0,20983.0,2453.0,0.0,0.0,0.0,20982.0,0.0,20982.0,0.0
7,2002-01-01,house,105,REP,0.0,17970.0,2046.0,0.0,0.0,0.0,17969.0,0.0,17969.0,0.0
8,2002-01-01,house,106,DEM,11822.0,0.0,0.0,0.0,0.0,0.0,0.0,11821.0,11821.0,1.0
9,2002-01-01,house,107,DEM,11490.0,0.0,0.0,0.0,0.0,0.0,0.0,11489.0,11489.0,1.0
10,2002-01-01,house,108,REP,0.0,12196.0,2278.0,0.0,0.0,0.0,12195.0,0.0,12195.0,0.0
11,2002-01-01,house,109,REP,6093.0,7643.0,321.0,0.0,0.0,0.0,1549.0,6093.0,7642.0,0.44357891671520094
12,2002-01-01,house,11,REP,8334.0,8508.0,0.0,0.0,0.0,0.0,173.0,8334.0,8507.0,0.49483434271464194
13,2002-01-01,house,110,REP,0.0,11402.0,0.0,0.0,0.0,0.0,11401.0,0.0,11401.0,0.0
14,2002-01-01,house,111,REP,8693.0,9790.0,0.0,0.0,0.0,0.0,1096.0,8693.0,9789.0,0.4703240815884867
15,2002-01-01,house,112,DEM,11215.0,7817.0,338.0,0.0,0.0,0.0,7817.0,3397.0,11214.0,0.58927070197562
16,2002-01-01,house,113,REP,0.0,17472.0,3338.0,0.0,0.0,0.0,17471.0,0.0,17471.0,0.0
17,2002-01-01,house,114,DEM,12516.0,7097.0,921.0,0.0,0.0,0.0,7097.0,5418.0,12515.0,0.6381481670320706
18,2002-01-01,house,115,DEM,11320.0,10405.0,601.0,0.0,0.0,0.0,10405.0,914.0,11319.0,0.5210586881472957
19,2002-01-01,house,116,REP,0.0,13470.0,0.0,0.0,0.0,0.0,13469.0,0.0,13469.0,0.0
20,2002-01-01,house,117,REP,0.0,17043.0,2107.0,0.0,0.0,0.0,17042.0,0.0,17042.0,0.0
21,2002-01-01,house,118,DEM,13717.0,11476.0,525.0,0.0,0.0,0.0,11476.0,2240.0,13716.0,0.5444766403366015
22,2002-01-01,house,119,DEM,11238.0,9175.0,0.0,0.0,0.0,0.0,9175.0,2062.0,11237.0,0.5505315240288051
23,2002-01-01,house,12,DEM,12173.0,0.0,1781.0,0.0,0.0,0.0,0.0,12172.0,12172.0,1.0
24,2002-01-01,house,120,REP,0.0,17968.0,0.0,0.0,0.0,0.0,17967.0,0.0,17967.0,0.0
25,2002-01-01,house,13,REP,9653.0,12530.0,0.0,0.0,0.0,0.0,2876.0,9653.0,12529.0,0.435153045124645
26,2002-01-01,house,14,REP,3410.0,4325.0,204.0,0.0,0.0,0.0,914.0,3410.0,4324.0,0.44085326438267614
27,2002-01-01,house,15,REP,3705.0,8988.0,0.0,0.0,0.0,0.0,5282.0,3705.0,8987.0,0.2918931694634838
28,2002-01-01,house,16,REP,8476.0,11338.0,460.0,0.0,0.0,0.0,2861.0,8476.0,11337.0,0.42777833854850106
29,2002-01-01,house,17,REP,10733.0,10902.0,476.0,0.0,0.0,0.0,168.0,10733.0,10901.0,0.4960942916570372
30,2002-01-01,house,18,DEM,12028.0,3696.0,485.0,0.0,0.0,0.0,3696.0,8331.0,12027.0,0.7649453065377766
31,2002-01-01,house,19,REP,0.0,20083.0,2565.0,0.0,0.0,0.0,20082.0,0.0,20082.0,0.0
32,2002-01-01,house,2,DEM,11867.0,6837.0,0.0,0.0,0.0,0.0,6837.0,5029.0,11866.0,0.6344632164242943
33,2002-01-01,house,20,DEM,14340.0,0.0,3058.0,0.0,0.0,0.0,0.0,14339.0,14339.0,1.0
34,2002-01-01,house,21,DEM,11498.0,0.0,0.0,0.0,0.0,0.0,0.0,11497.0,11497.0,1.0
