"election_dt","contest_name","name_on_ballot","party_cd","ballot_count","FTP_date","percent_rpting","percent_ballot"
"11/02/2004","AUDITOR","Leslie Merritt","REP",1662354,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","AUDITOR","Ralph Campbell","DEM",1633639,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","COMMISSIONER OF LABOR","Cherie Berry","REP",1723004,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT ATTORNEY DISTRICT 19B","Garland Nelson Yates","REP",65128,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (BELL) DISTRICT 16B","Greg Bell","   ",19756,2004-11-22 09:21:43.750000000,99,67
"11/02/2004","DISTRICT COURT JUDGE (BLACK) DISTRICT 27B","K. Dean Black","   ",40811,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (BOUSMAN) DISTRICT 10","Marilyn Ennis Maynard","   ",122162,2004-11-22 09:21:43.750000000,99,47
"11/02/2004","DISTRICT COURT JUDGE (BRAY) DISTRICT 18","Susan E. Bray","   ",94595,2004-11-22 09:21:43.750000000,99,68
"11/02/2004","DISTRICT COURT JUDGE (CARROLL) DISTRICT 5","John J. Carroll III","   ",55992,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (CILLEY) DISTRICT 29","Robert S. Cilley","   ",64689,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (DICKSON) DISTRICT 12","Bryce D. Neier","   ",24078,2004-11-22 09:21:43.750000000,99,33
"11/02/2004","DISTRICT COURT JUDGE (DICKSON) DISTRICT 12","John W. Dickson","   ",49772,2004-11-22 09:21:43.750000000,99,67
"11/02/2004","DISTRICT COURT JUDGE (FAIRCLOTH) DISTRICT 11","Resson O. Faircloth II","   ",53060,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (FOSTER) DISTRICT 18","Linda L. Falls","   ",70970,2004-11-22 09:21:43.750000000,99,51
"11/02/2004","DISTRICT COURT JUDGE (GRAY) DISTRICT 10","Jane P. Gray","   ",187088,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (HARDISON) DISTRICT 2","James W. Hardison","   ",27469,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (HARVIEL) DISTRICT 15A","Ernest J. Harviel","   ",32984,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (HINTON) DISTRICT 6A","W. Turner Stephenson III","   ",13920,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (HOYLE) DISTRICT 27A","Angela G. Hoyle","   ",35672,2004-11-22 09:21:43.750000000,99,71
"11/02/2004","DISTRICT COURT JUDGE (KIMBLE) DISTRICT 4","Wayne (Gary) Kimble, Jr.","   ",36788,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (LAWTON) DISTRICT 10","Don Overby","   ",124688,2004-11-22 09:21:43.750000000,99,50
"11/02/2004","DISTRICT COURT JUDGE (LEWIS) DISTRICT 26","Hugh Lewis","   ",130614,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (LONG) DISTRICT 19B","V. Bradford Long","   ",56798,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (MCCOY) DISTRICT 6A","H. Paul McCoy, Jr.","   ",14470,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (MILLER) DISTRICT 26","Elizabeth (Libby) Miller","   ",132112,2004-11-22 09:21:43.750000000,99,71
"11/02/2004","DISTRICT COURT JUDGE (NEELY) DISTRICT 19B","William M. (Bill) Neely","   ",57318,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (NEW SEAT) DISTRICT 17B","Mark Badgett","   ",20612,2004-11-22 09:21:43.750000000,99,53
"11/02/2004","DISTRICT COURT JUDGE (RADER) DISTRICT 10","Robert Rader","   ",178012,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (ROEMER) DISTRICT 21","Victoria L. (Tori) Roemer","   ",59073,2004-11-22 09:21:43.750000000,99,67
"11/02/2004","DISTRICT COURT JUDGE (SENTER) DISTRICT 9","John W. Davis","   ",25635,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (SETZER) DISTRICT 8","Joe Setzer","   ",36917,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (SNOW) DISTRICT 30","Monica Leslie","   ",34117,2004-11-22 09:21:43.750000000,99,53
"11/02/2004","DISTRICT COURT JUDGE (SNOW) DISTRICT 30","Sybil Mann","   ",29933,2004-11-22 09:21:43.750000000,99,47
"11/02/2004","DISTRICT COURT JUDGE (STEWART) DISTRICT 11","Marcia Kaye Stewart","   ",55140,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (TAYLOR) DISTRICT 27A","Thomas Taylor","   ",39402,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (THAGARD) DISTRICT 4","Leonard W. Thagard","   ",36853,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (TUCKER) DISTRICT 5","Phyllis Gorham (Write-In)","   ",20330,2004-11-22 09:21:43.750000000,99,31
"11/02/2004","DISTRICT COURT JUDGE (TUCKER) DISTRICT 5","Sandra Ray Criner","   ",45602,2004-11-22 09:21:43.750000000,99,69
"11/02/2004","DISTRICT COURT JUDGE (VINCENT) DISTRICT 18","Teresa Vincent","   ",116930,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","DISTRICT COURT JUDGE (WASHBURN) DISTRICT 15A","Tom Lambeth","   ",20584,2004-11-22 09:21:43.750000000,99,49
"11/02/2004","GOVERNOR","Mike Easley","DEM",1939154,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC Constitutional Amendment I","Against","   ",1429179,2004-11-22 09:21:43.750000000,99,49
"11/02/2004","NC Constitutional Amendment III","Against","   ",933021,2004-11-22 09:21:43.750000000,99,32
"11/02/2004","NC STATE HOUSE DISTRICT 101","Beverly M. Earle","DEM",20474,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 102","Becky Carney","DEM",17277,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 107","Kenny Houck","REP",7836,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 11","Louis M. Pate, Jr.","REP",20120,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 110","Jim Long","DEM",8448,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 112","Bob England","DEM",16681,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 115","Barbara Boyd","REP",13002,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 115","Robert Parker","LIB",999,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 119","Margaret (Marge) Carpenter","REP",13195,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 119","Phil Haire","DEM",14147,2004-11-22 09:21:43.750000000,99,100
"11/02/2004","NC STATE HOUSE DISTRICT 12","William L. Wainwright","DEM",13573,2004-11-22 09:21:43.750000000,99,100
