"election_dt"	"contest_name"	"name_on_ballot"	"party_cd"	"ballot_count"	"FTP_Date"
"11/07/2006"	"US CONGRESS DISTRICT 01"	"G. K. Butterfield"	"DEM"	82510	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 10"	"Richard Carsner"	"DEM"	58214	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 10"	"Patrick McHenry"	"REP"	94179	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 11"	"Heath Shuler"	"DEM"	124972	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 11"	"Charles H. Taylor"	"REP"	107342	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 12"	"Mel Watt"	"DEM"	71345	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 12"	"Ada M. Fisher"	"REP"	35127	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 13"	"Brad Miller"	"DEM"	98540	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 13"	"Vernon Robinson"	"REP"	56120	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 02"	"Bob Etheridge"	"DEM"	85993	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 02"	"Dan Mansell"	"REP"	43271	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 03"	"Craig Weber"	"DEM"	45458	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 03"	"Walter B. Jones"	"REP"	99519	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 04"	"David Price"	"DEM"	127340	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 04"	"Steve Acuff"	"REP"	68599	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 05"	"Roger Sharpe"	"DEM"	72061	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 05"	"Virginia Foxx"	"REP"	96138	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 06"	"Rory Blake"	"DEM"	44661	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 06"	"Howard Coble"	"REP"	108433	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 07"	"Mike McIntyre"	"DEM"	101787	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 07"	"Shirley Davis"	"REP"	38033	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 08"	"Larry Kissell"	"DEM"	60597	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 08"	"Robert C. (Robin) Hayes"	"REP"	60926	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 09"	"Bill Glass"	"DEM"	53437	"12/08/2006"
"11/07/2006"	"US CONGRESS DISTRICT 09"	"Sue Myrick"	"REP"	106206	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 01"	"Marc Basnight"	"DEM"	30398	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 01"	"Ron Toppin"	"REP"	13758	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 10"	"Charles W. (Charlie) Albertson"	"DEM"	20673	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 10"	"Adrain R. Arnett"	"REP"	11395	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 11"	"A. B. Swindell"	"DEM"	18900	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 11"	"Al Lytton"	"REP"	11768	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 12"	"Sherry M. Altman"	"DEM"	12931	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 12"	"Fred Smith"	"REP"	23872	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 13"	"David F. Weinstein"	"DEM"	15992	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 14"	"Vernon Malone"	"DEM"	26404	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 14"	"Richard Doeffinger"	"REP"	13644	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 15"	"Dorothy (Gerry) Bowles"	"DEM"	25854	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 15"	"Neal Hunt"	"REP"	31478	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 16"	"Janet Cowell"	"DEM"	30330	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 17"	"Richard Stevens"	"REP"	40430	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 18"	"Bob Atwater"	"DEM"	36763	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 19"	"Tony Rand"	"DEM"	22731	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 02"	"C. W. (Pete) Bland"	"DEM"	21052	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 02"	"Jean Preston"	"REP"	28340	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 20"	"Jeanne H. Lucas"	"DEM"	26760	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 21"	"Larry Shaw"	"DEM"	13412	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 21"	"Juanita M. Gonzalez"	"REP"	8344	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 22"	"Abraham Oudeh"	"DEM"	14644	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 22"	"Harris Blake"	"REP"	24490	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 23"	"Ellie Kinnaird"	"DEM"	31947	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 23"	"E. B. Alston"	"REP"	11400	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 24"	"Tony Foriest"	"DEM"	16973	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 24"	"Hugh Webster"	"REP"	16513	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 25"	"Bill Purcell"	"DEM"	23436	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 25"	"Douglas Bowen"	"REP"	13640	"12/08/2006"
"11/07/2006"	"NC STATE SENATE DISTRICT 26"	"Rick Miller"	"DEM"	16064	"12/08/2006"
